id,image,survey_id,logged_boxes,new_boxes
r_5ca2185bd3d76c93ffcbe6f7,images/i_f40e1337cdc5fca9fdcf5719.jpg,g_1cd5018e1fccddac14abd843,"[[228.888889,303.333333,308.888889,394.444444],[454.444444,0.0,534.444444,66.666667],[517.777778,151.111111,590.0,247.777778],[580.0,0.0,640.0,25.555556]]","[[158.888889,74.444444,231.111111,140.0],[415.555556,58.888889,495.555556,132.222222],[432.222222,621.111111,451.111111,640.0],[460.0,317.777778,532.222222,391.111111],[471.111111,56.666667,551.111111,132.222222],[478.888889,420.0,540.0,484.444444],[500.0,354.444444,585.555556,428.888889],[567.777778,285.555556,640.0,360.0],[600.0,216.666667,640.0,291.111111]]"
r_087aab779c00ed1db78bd252,images/i_07bdd1d6f5eae3786e8b37b6.jpg,g_2ecc0921238f50dab4b25eb6,[],"[[282.222222,271.111111,390.0,328.888889]]"
r_cc6d556f1d87a98ba8afc861,images/i_919875defdc2fe42870176e5.jpg,g_73c9cfb7a0e4fd20a4da1072,[],"[[248.888889,252.222222,360.0,363.333333]]"
r_fed3c8e24962a7bcef11eaf4,images/i_212fcfe53f93340f2534492e.jpg,g_c00004867525edba9a459c9d,[],"[[301.111111,302.222222,328.888889,334.444444]]"
r_2ca432d21f06ef94edf7b3ca,images/i_00f9a22fa59e99b6414204a0.jpg,g_78130b1b05552b8405310655,"[[308.888889,356.666667,344.444444,391.111111],[333.333333,301.111111,377.777778,340.0],[403.333333,297.777778,447.777778,334.444444]]","[[0.0,567.777778,110.0,640.0],[268.888889,462.222222,308.888889,503.333333],[312.222222,605.555556,347.777778,640.0]]"
r_beae51cf26adce2523ef3d27,images/i_5d8518c961142cc5369e503b.jpg,g_5c1373668118a2ecdb25dcce,"[[0.0,70.0,85.555556,123.333333],[0.0,97.777778,36.666667,142.222222],[0.0,350.0,22.222222,382.222222],[17.777778,424.444444,58.888889,467.777778],[17.777778,530.0,42.222222,552.222222],[38.888889,504.444444,61.111111,524.444444],[53.333333,451.111111,78.888889,474.444444],[66.666667,507.777778,116.666667,557.777778],[72.222222,130.0,103.333333,157.777778],[72.222222,187.777778,97.777778,218.888889],[77.777778,432.222222,101.111111,456.666667],[153.333333,568.888889,183.333333,591.111111],[155.555556,515.555556,183.333333,537.777778],[233.333333,515.555556,353.333333,601.111111],[272.222222,315.555556,305.555556,343.333333],[337.777778,518.888889,376.666667,552.222222],[365.555556,413.333333,393.333333,443.333333],[433.333333,487.777778,461.111111,518.888889],[445.555556,458.888889,487.777778,492.222222],[563.333333,473.333333,585.555556,497.777778],[582.222222,468.888889,640.0,543.333333],[585.555556,437.777778,608.888889,462.222222]]","[[14.444444,241.111111,53.333333,281.111111],[23.333333,125.555556,55.555556,160.0],[38.888889,86.666667,72.222222,111.111111],[73.333333,58.888889,108.888889,92.222222],[88.888889,485.555556,127.777778,524.444444],[136.666667,103.333333,181.111111,157.777778],[284.444444,246.666667,305.555556,282.222222],[508.888889,484.444444,540.0,517.777778]]"
r_ba895e2a6b3e6c596d699af5,images/i_0867a9f4516f9d4ce00d8942.jpg,g_9b84a0e70cd2222728d660da,"[[263.333333,198.888889,308.888889,264.444444]]","[[283.333333,216.666667,422.222222,355.555556]]"
r_22f659ee42cf2e5d1d6b16af,images/i_8490f6745db381f05a84c907.jpg,g_78130b1b05552b8405310655,"[[0.0,268.888889,122.222222,505.555556],[58.888889,15.555556,86.666667,43.333333],[281.111111,572.222222,312.222222,613.333333],[321.111111,330.0,348.888889,357.777778],[327.777778,435.555556,357.777778,467.777778]]","[[57.777778,85.555556,85.555556,113.333333],[77.777778,0.0,115.555556,33.333333]]"
r_a2ca7b047e7719a242d641c9,images/i_e91710e0c011903f385ef1e3.jpg,g_e795b187d8bcb48d9c5c99f7,"[[172.222222,284.444444,444.444444,376.666667],[381.111111,334.444444,411.111111,360.0],[400.0,455.555556,453.333333,498.888889],[431.111111,285.555556,503.333333,361.111111]]","[[338.888889,351.111111,408.888889,420.0]]"
r_0c492860868a4f99aad144bf,images/i_7763532de246cd9e3ddfaa62.jpg,g_54a03abcd865b2ee759e8706,"[[77.777778,257.777778,103.333333,287.777778],[271.111111,318.888889,354.444444,391.111111],[310.0,417.777778,420.0,445.555556]]","[[321.111111,520.0,450.0,605.555556]]"
r_58f4b55d0534b8fa740666e1,images/i_a0bcf3afb57782f837e193c9.jpg,g_004adaf1b09cd219c1c43fdf,"[[0.0,558.888889,21.111111,592.222222],[132.222222,166.666667,195.555556,215.555556]]","[[81.111111,107.777778,133.333333,151.111111],[111.111111,577.777778,152.222222,622.222222],[168.888889,561.111111,202.222222,594.444444],[235.555556,254.444444,272.222222,293.333333],[302.222222,333.333333,352.222222,372.222222],[387.777778,388.888889,423.333333,418.888889]]"
r_575234f66a41c005a9066246,images/i_68ae310051175310247f628a.jpg,g_d53c0806a84d48de3a05f1f6,"[[75.555556,460.0,110.0,491.111111],[110.0,611.111111,138.888889,636.666667],[181.111111,397.777778,206.666667,424.444444],[300.0,275.555556,353.333333,404.444444],[302.222222,404.444444,335.555556,456.666667],[310.0,397.777778,345.555556,433.333333],[324.444444,243.333333,374.444444,374.444444]]","[[38.888889,602.222222,62.222222,626.666667],[85.555556,485.555556,114.444444,516.666667],[92.222222,247.777778,140.0,292.222222]]"
r_2cfd7027616d55bcdccb383c,images/i_e4b9922d72a6f6c4e82b9499.jpg,g_34069ada4455e034b50c9255,"[[174.444444,316.666667,198.888889,341.111111],[337.777778,303.333333,364.444444,327.777778]]","[[208.888889,284.444444,242.222222,316.666667]]"
r_6062dcd93f19b7c5a02ee806,images/i_9be16775bc6f9c593bf82e44.jpg,g_0a4bc4edb1485ac9b9622e50,[],"[[143.333333,126.666667,507.777778,520.0]]"
r_0d80f5f279a7dd5866e9fb5d,images/i_3948a993f648ee3051187331.jpg,g_4f53fe9e9c32c6a28be5ba47,[],"[[274.444444,240.0,396.666667,356.666667]]"
r_8ddcaf6438e45cfbaed9ca72,images/i_c8ea215df35751305e85dc6a.jpg,g_bc45651cb36d5242796d7f89,[],"[[302.222222,296.666667,347.777778,335.555556]]"
r_b3be324a71f7a3bc4e92faa6,images/i_ed47042ef9b0a0d58ea1c77c.jpg,g_153f2ceabbf7fb25df867ef6,"[[32.222222,191.111111,62.222222,218.888889],[90.0,365.555556,117.777778,391.111111],[93.333333,387.777778,125.555556,428.888889],[117.777778,204.444444,167.777778,254.444444],[162.222222,343.333333,184.444444,365.555556],[187.777778,203.333333,204.444444,225.555556],[220.0,197.777778,240.0,218.888889],[273.333333,321.111111,300.0,337.777778]]","[[25.555556,406.666667,47.777778,437.777778],[56.666667,391.111111,78.888889,418.888889],[108.888889,133.333333,181.111111,204.444444]]"
r_1831e3988c16ad83c253446b,images/i_135003c8d6c9764eec60520c.jpg,g_d6cb9e1e058f0bc69cb8f2f2,"[[30.0,520.0,96.666667,588.888889],[127.777778,518.888889,166.666667,552.222222],[130.0,604.444444,174.444444,640.0],[157.777778,563.333333,180.0,597.777778],[160.0,345.555556,191.111111,373.333333],[183.333333,580.0,230.0,631.111111],[210.0,295.555556,241.111111,322.222222],[221.111111,254.444444,246.666667,284.444444],[232.222222,507.777778,277.777778,561.111111],[274.444444,275.555556,324.444444,320.0],[298.888889,542.222222,334.444444,575.555556],[392.222222,307.777778,427.777778,342.222222]]","[[98.888889,572.222222,141.111111,612.222222],[152.222222,467.777778,200.0,511.111111],[152.222222,524.444444,191.111111,563.333333],[211.111111,620.0,248.888889,640.0],[252.222222,474.444444,282.222222,500.0],[280.0,603.333333,323.333333,640.0],[335.555556,513.333333,390.0,568.888889],[363.333333,533.333333,393.333333,566.666667],[400.0,363.333333,435.555556,412.222222]]"
r_677c38d392e573c2c76880b7,images/i_2ca560fc9bc4c800fc6e555d.jpg,g_495fc3e5170e839c82003c16,"[[91.111111,113.333333,124.444444,143.333333],[186.666667,245.555556,238.888889,288.888889],[347.777778,160.0,381.111111,185.555556],[390.0,0.0,477.777778,56.666667],[444.444444,557.777778,494.444444,640.0],[571.111111,302.222222,600.0,332.222222],[604.444444,387.777778,626.666667,414.444444]]","[[272.222222,271.111111,383.333333,382.222222],[533.333333,37.777778,557.777778,66.666667]]"
r_0a231e25cd1b8965cc020931,images/i_664ece1c72a5aaeb3add14ef.jpg,g_0235d1a86cf53fa9bcc317ac,"[[361.111111,602.222222,408.888889,635.555556]]","[[252.222222,268.888889,321.111111,334.444444]]"
r_9ef960f912b96a304d2db525,images/i_3bcc526c30c4a9c813cc5314.jpg,g_548716fabb146405ff0421e8,"[[58.888889,568.888889,88.888889,598.888889],[61.111111,57.777778,92.222222,92.222222],[62.222222,485.555556,90.0,512.222222],[94.444444,534.444444,132.222222,570.0],[110.0,46.666667,143.333333,77.777778],[183.333333,80.0,215.555556,111.111111],[203.333333,174.444444,233.333333,204.444444],[213.333333,58.888889,264.444444,107.777778],[358.888889,395.555556,388.888889,425.555556],[436.666667,270.0,465.555556,300.0],[564.444444,270.0,594.444444,306.666667],[577.777778,508.888889,607.777778,538.888889]]","[[6.666667,51.111111,38.888889,92.222222],[105.555556,82.222222,138.888889,113.333333],[337.777778,287.777778,365.555556,315.555556],[392.222222,521.111111,431.111111,560.0],[463.333333,347.777778,493.333333,377.777778],[544.444444,598.888889,577.777778,637.777778]]"
r_4884011815d1b4bf016c4ded,images/i_9fde2aaf3e193b9d68a6849e.jpg,g_5c1373668118a2ecdb25dcce,"[[278.888889,300.0,315.555556,336.666667],[372.222222,534.444444,426.666667,590.0],[426.666667,567.777778,457.777778,598.888889]]","[[150.0,386.666667,184.444444,422.222222],[160.0,410.0,350.0,454.444444],[221.111111,275.555556,360.0,404.444444],[237.777778,202.222222,285.555556,230.0],[366.666667,478.888889,400.0,511.111111],[567.777778,207.777778,594.444444,237.777778]]"
r_e245f1bdc494e338472a2900,images/i_7cf914edf25a163024c8bd30.jpg,g_44d271278278e63b28fbdde4,"[[622.222222,343.333333,640.0,382.222222]]","[[202.222222,201.111111,455.555556,403.333333]]"
r_b20871f6d7c650e36cd15a02,images/i_db2033ffc28d1b1f8a28e8ab.jpg,g_bc4b41910ede1dbb166e4ff0,[],"[[282.222222,241.111111,426.666667,391.111111]]"
r_fb486fd9fdf0400ace91d0db,images/i_eef2cc673325fe945c9cc7b8.jpg,g_3091740873bc0f9e31c2afdf,[],"[[283.333333,258.888889,364.444444,332.222222]]"
r_15dce0529ca6208120fb1f52,images/i_b2ed2617ac9a1c41d6f8643f.jpg,g_fc0d4b91dfa6610c561cacf5,[],"[[266.666667,312.222222,310.0,352.222222]]"
r_6d5fae7e828e3aac03ed533f,images/i_101c0a540d963ec44ef30916.jpg,g_7e0b17a4394a0d8e8d0822b1,[],"[[288.888889,313.333333,321.111111,348.888889]]"
r_0bd745943727c9a750942a6e,images/i_41806359e308717261227a82.jpg,g_d5f0a8457b6150d10e5e952d,[],"[[256.666667,274.444444,311.111111,310.0]]"
r_8ba0d42ccb3d3b1eed3ef946,images/i_cb2b70ed9440d710a1c05246.jpg,g_9fcf44edcc794f9a725aa4ef,"[[173.333333,178.888889,223.333333,232.222222],[196.666667,331.111111,238.888889,373.333333],[267.777778,295.555556,362.222222,386.666667],[301.111111,404.444444,398.888889,460.0]]","[[141.111111,585.555556,185.555556,620.0],[274.444444,447.777778,351.111111,523.333333],[517.777778,0.0,587.777778,60.0]]"
r_b14a564d2cb3e754811f6215,images/i_cabbfcfc7de934412d58daac.jpg,g_bc4b41910ede1dbb166e4ff0,[],"[[266.666667,330.0,342.222222,373.333333]]"
r_57bd20311f0ac9b2e7679fcc,images/i_decf107db3dfd3ecd38ef337.jpg,g_4037c3d3579a9e55f116b6b8,[],"[[248.888889,257.777778,342.222222,350.0]]"
r_a70b84fd24a0ae304605dac8,images/i_abeaf46231af82a59dec7eea.jpg,g_52c4dfc1908e081c9ccd963a,"[[268.888889,288.888889,310.0,338.888889]]","[[215.555556,613.333333,252.222222,640.0],[310.0,611.111111,348.888889,640.0]]"
r_6bf2418b4377347094098a14,images/i_b9ccb917b53f074a97707a3a.jpg,g_33b50a66bc0ee13317f69280,"[[231.111111,292.222222,336.666667,313.333333],[545.555556,241.111111,584.444444,266.666667],[605.555556,231.111111,640.0,252.222222]]","[[232.222222,306.666667,267.777778,344.444444]]"
r_32c024dc4bdc171064f18447,images/i_a77b083c2a8beaaa0bbdc033.jpg,g_57d477d8e59185becabea4f8,"[[216.666667,257.777778,237.777778,278.888889],[257.777778,267.777778,275.555556,284.444444],[272.222222,295.555556,297.777778,321.111111],[275.555556,254.444444,293.333333,274.444444],[310.0,298.888889,340.0,326.666667],[344.444444,261.111111,380.0,293.333333],[387.777778,256.666667,415.555556,282.222222],[391.111111,236.666667,426.666667,268.888889],[490.0,162.222222,524.444444,195.555556]]","[[204.444444,271.111111,218.888889,293.333333]]"
r_1f9c29aef3e17144e3bcc279,images/i_4da04ff20d683268883a43a3.jpg,g_d7740bbce97666a1ace5bc5d,"[[202.222222,525.555556,230.0,558.888889],[288.888889,300.0,327.777778,338.888889]]","[[156.666667,594.444444,186.666667,624.444444]]"
r_c37df93e47e589237a018fbf,images/i_f82f82c9c2b6a67906b3e211.jpg,g_dcfb991a7a3d5d2b48c93cc7,"[[270.0,271.111111,308.888889,292.222222]]","[[267.777778,297.777778,314.444444,334.444444]]"
r_cb029a66f8d6ba774265647a,images/i_5e5a6a79e37c61b505ec1d66.jpg,g_c58fdbc6fa85124aa6daeb95,[],"[[287.777778,271.111111,334.444444,306.666667]]"
r_c9cb4fea71b05da080715f6d,images/i_cff510a2c32bd895d7d88898.jpg,g_b6f920436b9a428b73297028,"[[114.444444,25.555556,162.222222,70.0],[186.666667,272.222222,346.666667,517.777778],[416.666667,380.0,620.0,640.0],[512.222222,322.222222,565.555556,374.444444]]","[[0.0,0.0,260.0,78.888889],[224.444444,0.0,350.0,170.0]]"
r_287aa62537a7a9a4a0508d6d,images/i_880c01de2822481417ad13e9.jpg,g_f05d5d459370f6828da9ad2e,[],"[[285.555556,253.333333,391.111111,348.888889]]"
r_a55ae166a0aa03e8406dd412,images/i_7600c3e2d7dbc104b710c1d7.jpg,g_6e8e0013c90631588dd146c0,[],"[[270.0,264.444444,413.333333,335.555556]]"
r_b1d66ba2d90eb6a2b30e96dd,images/i_74a8df7e2987743c214fe0d2.jpg,g_a8e6e85e214208f83abba24a,"[[265.555556,292.222222,321.111111,372.222222]]","[[426.666667,426.666667,481.111111,587.777778]]"
r_09ef794fa668aaa6a8e6b073,images/i_816475770bc0718a989bef4c.jpg,g_ba87be3352eeffda4dc03a29,"[[398.888889,246.666667,423.333333,274.444444],[412.222222,206.666667,454.444444,230.0],[487.777778,188.888889,520.0,218.888889],[542.222222,234.444444,573.333333,263.333333],[566.666667,268.888889,596.666667,300.0],[570.0,214.444444,606.666667,252.222222]]","[[256.666667,58.888889,290.0,97.777778],[312.222222,285.555556,345.555556,324.444444],[360.0,346.666667,398.888889,383.333333],[437.777778,73.333333,465.555556,101.111111],[550.0,400.0,581.111111,433.333333],[555.555556,185.555556,583.333333,213.333333],[623.333333,368.888889,640.0,402.222222]]"
r_161cc68a86dddb54576e1e93,images/i_f9f607081cb21148a7796f44.jpg,g_986eed83a5135fe045b4789c,"[[5.555556,53.333333,25.555556,82.222222],[111.111111,234.444444,158.888889,267.777778],[170.0,50.0,201.111111,73.333333],[323.333333,304.444444,364.444444,344.444444],[448.888889,93.333333,468.888889,122.222222]]","[[93.333333,161.111111,121.111111,186.666667]]"
r_b58e3e6405533ac3c55f6392,images/i_883fb61067fecb31d8ce13d6.jpg,g_9f3f20517f2375137585cfa4,[],"[[255.555556,237.777778,400.0,454.444444]]"
r_0f94aad4ff700769cb170f78,images/i_006bdefc2eed551c2d871544.jpg,g_42d729dbddb5095c7622cb4c,"[[340.0,217.777778,371.111111,242.222222],[618.888889,256.666667,640.0,290.0]]","[[286.666667,323.333333,321.111111,360.0],[454.444444,32.222222,488.888889,65.555556]]"
r_d978477bce24e86a05918e38,images/i_2f92e38d559d3e5b5fd91016.jpg,g_06759fdff160cb2d240d218c,[],"[[317.777778,268.888889,367.777778,324.444444]]"
r_694607abc591b1c097201a3f,images/i_3646c325f8ae67e917640d7a.jpg,g_16dac7121c1573de8e88a546,"[[192.222222,120.0,210.0,147.777778],[274.444444,274.444444,318.888889,318.888889],[300.0,507.777778,326.666667,533.333333],[302.222222,77.777778,335.555556,108.888889],[385.555556,0.0,415.555556,18.888889],[415.555556,617.777778,441.111111,640.0],[418.888889,528.888889,458.888889,564.444444]]","[[204.444444,97.777778,232.222222,125.555556],[227.777778,252.222222,268.888889,288.888889],[257.777778,507.777778,297.777778,543.333333],[381.111111,525.555556,421.111111,561.111111],[413.333333,196.666667,430.0,218.888889]]"
r_ccbb2c4e490503c0116e4d73,images/i_d3e345ca921e3e1408e42ccf.jpg,g_6adc33dc1549779e76d13509,"[[287.777778,172.222222,400.0,311.111111],[325.555556,424.444444,342.222222,446.666667],[403.333333,413.333333,431.111111,437.777778],[467.777778,598.888889,501.111111,640.0],[503.333333,611.111111,524.444444,640.0],[515.555556,582.222222,546.666667,616.666667],[524.444444,398.888889,577.777778,450.0],[524.444444,491.111111,552.222222,507.777778],[530.0,513.333333,554.444444,535.555556]]","[[117.777778,371.111111,158.888889,413.333333],[492.222222,543.333333,522.222222,568.888889],[565.555556,404.444444,587.777778,424.444444],[587.777778,302.222222,617.777778,327.777778]]"
r_6f2d4d78417835312bf0bab3,images/i_d136f743bb3bdce0f587729b.jpg,g_5c8363ee47846a65f5f6870a,"[[525.555556,326.666667,575.555556,351.111111]]","[[307.777778,233.333333,368.888889,405.555556]]"
r_14b40beb2b3dbbd86b2e6675,images/i_273463000e54cd2c1ef1a8ff.jpg,g_60311e780a136147b3e08279,"[[30.0,76.666667,73.333333,112.222222],[133.333333,521.111111,162.222222,548.888889],[165.555556,51.111111,188.888889,78.888889],[177.777778,303.333333,220.0,337.777778],[194.444444,12.222222,217.777778,43.333333],[195.555556,163.333333,233.333333,198.888889],[307.777778,460.0,331.111111,481.111111],[314.444444,63.333333,358.888889,98.888889]]","[[183.333333,68.888889,211.111111,98.888889],[198.888889,577.777778,222.222222,600.0],[200.0,612.222222,235.555556,640.0],[211.111111,73.333333,250.0,102.222222],[278.888889,228.888889,347.777778,364.444444]]"
r_59c3fcc0d154a66df8e9d358,images/i_99ef0f167b5081f0e408ae8f.jpg,g_146012b47cdbc82cff624cd4,"[[60.0,155.555556,135.555556,231.111111]]","[[298.888889,245.555556,374.444444,321.111111]]"
r_816934541d9a2794d2d19d0a,images/i_780ba2eb39f3f779e2b6ed99.jpg,g_ba6e7e0f94fa8f8b65390c77,"[[92.222222,192.222222,125.555556,225.555556],[283.333333,511.111111,316.666667,544.444444],[296.666667,268.888889,340.0,321.111111],[342.222222,285.555556,371.111111,324.444444],[354.444444,433.333333,383.333333,463.333333],[408.888889,533.333333,443.333333,563.333333],[545.555556,455.555556,575.555556,485.555556],[612.222222,551.111111,640.0,584.444444]]","[[304.444444,450.0,334.444444,480.0],[315.555556,372.222222,348.888889,402.222222],[476.666667,620.0,506.666667,640.0]]"
r_37e4b87fdc52b9331f0f767f,images/i_20568cbdc3643e7efe56ab76.jpg,g_42d729dbddb5095c7622cb4c,"[[263.333333,557.777778,310.0,606.666667],[286.666667,298.888889,358.888889,374.444444],[467.777778,260.0,511.111111,301.111111]]","[[497.777778,347.777778,536.666667,498.888889]]"
r_7acf6f8b2390d68932e60047,images/i_0d03330fadc54d9092106c04.jpg,g_ef77e43cdd33ab4cd09446d4,[],"[[272.222222,274.444444,302.222222,310.0]]"
r_83bbf036cee7944fc45469fd,images/i_eada22a4b5e49554a1cdc1ee.jpg,g_f5601e5276d6361cac021410,"[[275.555556,308.888889,297.777778,343.333333]]","[[282.222222,268.888889,317.777778,304.444444]]"
r_17c48b32e5b7aaa0010d9640,images/i_8260e33c768eef43ec153a44.jpg,g_76c960aa4b4cf4c78de449ec,[],"[[264.444444,268.888889,361.111111,356.666667]]"
r_79ffeff3be93b337f7313f86,images/i_8017bae63edaa87ff1b532af.jpg,g_60311e780a136147b3e08279,"[[177.777778,242.222222,407.777778,397.777778],[441.111111,255.555556,481.111111,290.0],[473.333333,333.333333,512.222222,372.222222],[554.444444,283.333333,587.777778,315.555556],[584.444444,244.444444,618.888889,277.777778]]","[[510.0,181.111111,534.444444,203.333333],[534.444444,472.222222,565.555556,518.888889],[622.222222,275.555556,640.0,314.444444]]"
r_10133a523ff432f73f279fd0,images/i_47962b455edd3ba28bb4672c.jpg,g_6a1e0ae9c64195095fc69ee4,"[[287.777778,264.444444,352.222222,350.0],[328.888889,440.0,355.555556,468.888889],[417.777778,124.444444,445.555556,163.333333],[477.777778,20.0,504.444444,48.888889]]","[[310.0,383.333333,346.666667,421.111111],[464.444444,113.333333,513.333333,161.111111],[572.222222,157.777778,605.555556,191.111111]]"
r_b2fb264570eb42cfbe5af2f2,images/i_110d2e883c1fb558eb362a5a.jpg,g_6782ab60ee5fb70e23d9ba83,"[[290.0,295.555556,315.555556,328.888889]]","[[252.222222,447.777778,278.888889,470.0]]"
r_58357965528d5bf86db95927,images/i_5e769556f63ffaa6b8c043af.jpg,g_46cea94245a204666f454c1c,[],"[[284.444444,248.888889,364.444444,328.888889],[342.222222,236.666667,418.888889,308.888889]]"
r_0c7616b9c5723ed019743d9b,images/i_81551914cfd375edd8ca494d.jpg,g_9bcb50d3d7f42264aba6f4ee,"[[165.555556,215.555556,464.444444,420.0],[534.444444,54.444444,553.333333,78.888889]]","[[88.888889,17.777778,191.111111,165.555556],[437.777778,63.333333,468.888889,91.111111]]"
r_c14ee93092bcee9b27aeb649,images/i_38eeffcf8d414c4e8cdda963.jpg,g_2d7b98cd7c371884a7dd41f9,[],"[[322.222222,266.666667,390.0,336.666667]]"
r_87351c4ce7bfdf122de906f8,images/i_09d450102288f8b1f45ba55c.jpg,g_5c1373668118a2ecdb25dcce,"[[41.111111,483.333333,146.666667,621.111111],[273.333333,302.222222,307.777778,338.888889],[332.222222,283.333333,371.111111,318.888889],[433.333333,425.555556,466.666667,444.444444]]","[[187.777778,347.777778,213.333333,375.555556]]"
r_ecb33df2626ead1b0ee0b917,images/i_fc58d5d69fa26b09537b0fd3.jpg,g_2470e5afdd2ca5d651dc7206,[],"[[292.222222,306.666667,327.777778,351.111111]]"
r_a0d7a7a7e218fe9a8c942416,images/i_9dd8b9cf910449ebb47e23ac.jpg,g_26808958ac59704f654ca805,"[[597.777778,427.777778,640.0,483.333333]]","[[0.0,354.444444,120.0,503.333333],[303.333333,342.222222,327.777778,367.777778],[461.111111,483.333333,505.555556,522.222222]]"
r_2d56877c4506551d8912350d,images/i_dabae31482ac25bf693b8bfb.jpg,g_de647c5cff066faa1b3857af,"[[292.222222,322.222222,323.333333,354.444444],[322.222222,356.666667,344.444444,388.888889],[465.555556,385.555556,494.444444,414.444444],[492.222222,320.0,530.0,355.555556]]","[[242.222222,0.0,273.333333,20.0],[297.777778,506.666667,344.444444,544.444444],[360.0,613.333333,391.111111,640.0]]"
r_883e76e956526aa3c7b81beb,images/i_c13081705d81f80c52b91c16.jpg,g_495fc3e5170e839c82003c16,"[[120.0,116.666667,147.777778,144.444444],[131.111111,26.666667,174.444444,68.888889],[244.444444,170.0,277.777778,204.444444],[246.666667,0.0,300.0,35.555556],[281.111111,321.111111,361.111111,382.222222],[360.0,142.222222,391.111111,174.444444],[404.444444,118.888889,441.111111,153.333333],[422.222222,84.444444,454.444444,142.222222]]","[[75.555556,35.555556,100.0,57.777778],[147.777778,86.666667,190.0,147.777778],[246.666667,96.666667,280.0,147.777778],[275.555556,2.222222,314.444444,50.0],[394.444444,150.0,422.222222,180.0]]"
r_6dd8e9fe24d967018fed1c8a,images/i_5df965b52861468a9e2a84f4.jpg,g_b4c454603fbee2555a70c026,"[[40.0,75.555556,101.111111,132.222222],[126.666667,140.0,203.333333,171.111111],[300.0,246.666667,321.111111,266.666667],[308.888889,213.333333,325.555556,231.111111],[347.777778,264.444444,375.555556,293.333333],[423.333333,203.333333,444.444444,228.888889],[455.555556,270.0,500.0,314.444444],[458.888889,308.888889,480.0,327.777778],[486.666667,0.0,507.777778,18.888889]]","[[86.666667,114.444444,177.777778,155.555556],[304.444444,193.333333,325.555556,218.888889],[328.888889,284.444444,378.888889,356.666667],[345.555556,176.666667,368.888889,202.222222],[384.444444,295.555556,413.333333,322.222222],[423.333333,64.444444,461.111111,101.111111],[466.666667,81.111111,484.444444,97.777778]]"
r_b9b9a76e904c5f1816f9fc20,images/i_536035f34b70456afdc2ce22.jpg,g_99d2b1d185950ccee12f2eeb,"[[318.888889,332.222222,340.0,354.444444],[343.333333,232.222222,366.666667,248.888889],[347.777778,218.888889,372.222222,235.555556],[410.0,193.333333,436.666667,211.111111],[421.111111,138.888889,438.888889,160.0]]","[[104.444444,155.555556,125.555556,178.888889],[234.444444,2.222222,255.555556,25.555556],[312.222222,293.333333,333.333333,315.555556],[342.222222,244.444444,362.222222,265.555556],[387.777778,155.555556,406.666667,174.444444]]"
r_01a79eb81aa104f69d734619,images/i_1439c6e9ab486d8e968900ac.jpg,g_f1c9bd53aaaf4c0e6ad83d17,[],"[[57.777778,210.0,523.333333,464.444444]]"
r_aa37a1c2a657b024370570dc,images/i_b8d6e9db9aef4bbfe694f224.jpg,g_8510df8069b8a496108a66f6,[],"[[286.666667,295.555556,342.222222,351.111111]]"
